user_id,date,steps,screen_minutes,caffeine_mg,alcohol_units,exercise_minutes,sleep_quality,sleep_duration_hours,steps_rolling_7d,weekday,is_weekend,caffeine_gt_200,alcohol_gt_1,high_screen_time
user_00,2023-01-01,10270,535,380.2857225639665,2.1959818254342154,60,7,5.0711718999660675,0.0,6,1,1,1,1
user_00,2023-01-02,14636,199,57.14672716877631,1.9526654188465586,52,7,6.542560043585965,0.0,0,0,0,1,0
user_00,2023-01-03,8311,543,73.36180394137352,0.9127267288786132,21,3,6.603441225038131,0.0,1,0,0,0,1
user_00,2023-01-04,5047,575,389.5022075365837,0.6983140212909127,61,7,4.575251813786544,0.0,2,0,1,0,1
user_00,2023-01-05,4528,230,343.9761626945282,2.040922615763339,72,6,6.947439821046639,0.0,3,0,1,1,0
user_00,2023-01-06,5612,485,273.69321060486277,1.320457481218804,70,7,4.779156350028978,0.0,4,0,1,1,1
user_00,2023-01-07,6073,489,83.17666514727553,1.7031009834599744,92,7,6.881761038948611,7782.428571428572,5,1,0,1,1
user_00,2023-01-08,14534,555,228.17758976215976,1.562502780077471,61,7,5.280155791605291,8391.57142857143,6,1,1,1,1
user_00,2023-01-09,12268,379,142.70133067743572,0.8428035290621423,108,7,6.887748459593357,8053.285714285715,0,0,0,0,0
user_00,2023-01-10,8892,589,143.38629141770903,0.34760717857538914,6,7,5.888012179493058,8136.285714285715,1,0,0,0,1
user_00,2023-01-11,5454,161,130.07332881069883,2.1888185350141924,103,4,7.0694808861969305,8194.42857142857,2,0,0,1,0
user_00,2023-01-12,11110,561,339.56552970643355,2.1651885634946195,118,5,6.821902504375224,9134.714285714286,3,0,1,1,1
user_00,2023-01-13,10721,479,43.15657079732178,0.09428755706020275,102,7,6.423943069790934,9864.57142857143,4,0,0,0,1
user_00,2023-01-14,9374,336,215.93643652066925,0.6091836742043082,12,6,5.498242956415464,10336.142857142857,5,1,1,0,0
user_00,2023-01-15,13817,269,323.2481518257668,1.9002112695312703,5,6,4.601259118394142,10233.714285714286,6,1,1,1,0
user_00,2023-01-16,13173,430,129.73800840210959,0.36626386410202005,88,8,4.688675774248891,10363.0,0,0,0,0,1
